指标名称,a,进出口金额:当月同比,社会消费品零售总额:当月同比,CPI:当月同比,PPI:全部工业品:当月同比,社会融资规模:当月值,M2:同比,M1:同比,人民币存款准备金率:大型存款类金融机构(月),人民币存款准备金率:中小型存款类金融机构(月),商品房销售面积:累计同比,商品房销售额:累计同比,PMI,财新中国PMI,财政收支差额:当月值,金融机构:财政存款余额,金融机构:机关团体存款余额,实际使用外资金额:外商直接投资:当月同比,官方储备资产:外汇储备,金融机构:人民币:资金运用:中央银行外汇占款,金融机构:贷款占比:基准利率,人民币:实际有效汇率指数,人民币:名义有效汇率指数
14-Mar,8.8,-9.06,12.24,2.38,-2.3,"20,934.00",12.1,5.4,20,18,-3.8,-5.2,50.3,48,"-3,262.56","31,063.31","169,395.74",-1.47,"39,480.97","293,851.92",21.4,117.13,112.69
14-Apr,8.7,0.77,11.9,1.8,-2,"15,259.00",13.2,5.5,20,18,-6.9,-7.8,50.4,48.1,"3,071.45","36,678.43","169,909.08",3.4,"39,787.95","295,021.13",20.6,114.53,111.15
14-May,8.8,2.97,12.51,2.48,-1.45,"14,013.00",13.4,5.7,20,18,-7.8,-8.5,50.8,49.4,880.14,"39,705.29","173,218.33",-6.7,"39,838.90","295,396.21",19.81,113.88,110.54
14-Jun,9.2,6.36,12.4,2.34,-1.11,"19,673.00",14.7,8.9,20,18,-6,-6.7,51,50.7,"-3,060.88","36,674.09","178,121.93",0.2,"39,932.13","294,513.41",21.57,113.88,110.94
14-Jul,9,6.8,12.22,2.29,-0.87,"2,737.00",13.5,6.7,20,18,-7.6,-8.2,51.7,51.7,"2,405.38","43,477.78","178,345.95",-16.95,"39,662.67","294,891.76",19.68,114.52,111.44
14-Aug,6.9,3.95,11.9,1.99,-1.2,"9,577.00",12.8,5.7,20,18,-8.3,-8.9,51.1,50.2,"-1,094.53","44,470.12","180,273.71",-14,"39,688.25","294,580.30",18.8,116.46,113.3
14-Sep,8,11.25,11.57,1.63,-1.8,"11,355.00",12.9,4.8,20,18,-8.6,-8.9,51.1,50.2,"-4,072.52","41,304.92","183,304.06",1.9,"38,877.00","294,591.70",20.43,119.23,115.66
14-Oct,7.7,8.33,11.52,1.6,-2.24,"6,807.00",12.6,3.2,20,18,-7.8,-7.9,50.8,50.4,"3,370.42","48,141.71","184,154.31",1.3,"38,529.18","295,252.45",20.43,121.12,117.43
14-Nov,7.2,-0.55,11.72,1.44,-2.69,"11,459.00",12.3,3.2,20,18,-8.2,-7.8,50.3,50,"-2,805.67","48,370.92","185,068.02",22.2,"38,473.54","295,274.11",19.94,123.81,119.96
14-Dec,7.9,3.96,11.89,1.51,-3.32,"16,945.00",12.2,3.2,20,18,-7.6,-6.3,50.1,49.6,"-14,599.01","35,664.48","186,129.37",10.3,"38,430.18","294,090.46",19.64,125.31,120.79
15-Jan,9.6,-10.89,11.3,0.76,-4.32,"20,516.00",10.8,10.6,20,18,-11.95,-11.05,49.8,49.7,"8,066.64","42,296.62","188,465.51",29.4,"38,134.14","293,007.85",19.93,127.37,122.26
15-Feb,3.6,10.67,10.71,1.43,-4.8,"13,609.00",12.5,5.6,19.5,17.5,-16.3,-15.8,49.9,50.7,"-1,215.30","37,591.24","184,555.37",0.9,"38,015.03","293,429.99",19.4,129.29,122.73
15-Mar,5.6,-13.87,10.24,1.38,-4.56,"12,433.00",11.6,2.9,19.5,17.5,-9.2,-9.3,50.1,49.6,"-3,259.49","34,356.39","189,982.85",2.2,"37,300.38","291,865.23",19.77,130.33,125.13
15-Apr,5.9,-11.06,10,1.51,-4.57,"10,582.00",10.1,3.7,18.5,16.5,-4.8,-3.1,50.1,48.9,967.59,"35,457.70","192,657.13",10.5,"37,481.42","292,189.19",16.59,129.48,125.01
15-May,6.1,-9.72,10.13,1.23,-4.61,"12,397.00",10.8,4.7,18.5,16.5,-0.2,3.1,50.2,49.2,"1,231.34","39,310.06","196,075.83",7.8,"37,111.43","292,510.97",16.2,127.88,124.01
15-Jun,6.8,-2.26,10.63,1.39,-4.81,"18,384.00",11.8,4.3,18.5,16.5,3.9,10,50.2,49.4,"-3,478.78","40,610.33","201,272.65",0.7,"36,938.38","291,574.05",15.77,128.67,125.02
15-Jul,6,-8.91,10.51,1.65,-5.37,"7,511.00",13.3,6.6,18.5,16.5,6.1,13.4,50,47.8,"1,516.99","45,759.97","203,305.84",5.2,"36,513.10","289,082.80",15.76,130.68,126.54
15-Aug,6.1,-9.31,10.79,1.96,-5.92,"11,097.00",13.3,9.3,18.5,16.5,7.2,15.3,49.7,47.3,"-3,172.18","44,170.05","205,893.23",22,"35,573.81","281,844.44",14.81,130.09,125.42
15-Sep,5.7,-11.54,10.9,1.6,-5.95,"13,571.00",13.1,11.4,18,16,7.5,15.3,49.8,47.2,"-6,906.85","41,078.42","209,277.72",7.1,"35,141.20","274,231.66",17.61,130.02,125.35
