指标名称,a,进出口金额:当月同比,社会消费品零售总额:当月同比,CPI:当月同比,PPI:全部工业品:当月同比,社会融资规模:当月值,M2:同比,M1:同比,人民币存款准备金率:大型存款类金融机构(月),人民币存款准备金率:中小型存款类金融机构(月),商品房销售面积:累计同比,商品房销售额:累计同比,PMI,财新中国PMI,财政收支差额:当月值,金融机构:财政存款余额,金融机构:机关团体存款余额,实际使用外资金额:外商直接投资:当月同比,官方储备资产:外汇储备,金融机构:人民币:资金运用:中央银行外汇占款,金融机构:贷款占比:基准利率,人民币:实际有效汇率指数,人民币:名义有效汇率指数
6-Nov,14.9,26.1,14.1,1.9,2.78,"2,788.00",16.8,16.8,9,9,12,17.9,55.3,53,"-1,123.05","16,396.96","14,222.34",20.6,"10,387.51","94,547.86",26.38,86.25,89.63
6-Dec,14.7,19.6,14.6,2.8,3.1,"3,837.00",16.94,17.48,9,9,12.2,18.5,54.8,52.4,"-7,595.10","10,926.68","15,045.85",21.7,"10,663.44","98,980.27",26.63,86.57,89.14
7-Jan,24.71,30.57,12.7,2.2,3.3,"6,908.00",15.93,20.21,9.5,9.5,6.35,18.95,55.1,52,"3,325.15","13,498.13","15,552.79",13.9,"11,046.92","102,112.26",27.1,88.43,90.48
7-Feb,12.6,32.81,16.9,2.7,2.6,"3,083.00",17.8,21,10,10,0.5,19.4,53.1,53,501.83,"13,341.90","14,812.79",12.1,"11,573.72","105,231.46",27.56,89.65,90.75
7-Mar,17.6,10.6,15.3,3.3,2.7,"6,311.00",17.3,19.8,10,10,12.8,27.4,56.1,52.3,667.89,"14,004.78","15,396.33",9.3,"12,020.31","107,747.79",27.85,88.21,90.19
7-Apr,17.4,24.27,15.5,3,2.9,"6,103.00",17.1,20,10.5,10.5,16.4,30,58.6,53.3,"2,611.94","16,951.00","15,448.57",5.5,"12,465.66","110,049.40",28.28,87.13,89.64
7-May,18.1,24.39,15.9,3.4,2.8,"3,824.00",16.74,19.28,11,11,16.6,28.5,55.7,54.1,"1,185.30","19,050.20","15,966.11",8.7,"12,926.71","112,397.35",28.7,87.72,90.26
7-Jun,19.4,21.43,16,4.4,2.49,"7,042.00",17.06,20.92,11.5,11.5,21.5,33.8,54.5,55,-94.26,"19,166.24","16,581.91",21.9,"13,326.25","114,449.63",29.13,88.69,91.03
7-Jul,18,30.9,16.4,5.6,2.4,"3,100.00",18.5,20.9,11.5,11.5,25.1,39.2,53.3,53.2,"1,975.76","21,385.71","16,731.54",17.8,"13,852.00","118,212.40",28.3,89.01,90.62
7-Aug,17.5,21.45,17.1,6.5,2.6,"6,961.00",18.1,22.8,12,12,29.3,45.6,54,53.4,68.75,"21,218.78","17,218.41",11.9,"14,086.41","120,348.58",27.48,89.94,90.74
7-Sep,18.9,19.43,17,6.2,2.7,"5,290.00",18.45,22.07,12.5,12.5,32.1,50.5,56.1,55,-341.79,"21,327.01","17,686.64",-2.4,"14,336.11","125,736.15",26.65,89.7,90.44
7-Oct,17.9,23.53,18.1,6.5,3.2,"3,688.00",18.47,22.21,13,13,31.3,51.5,53.2,55.2,"1,786.87","23,419.87","18,015.17",13.2,"14,548.98","127,168.66",27,88.45,89.46
7-Nov,17.3,23.71,18.8,6.9,4.55,"3,073.00",18.45,21.67,13.5,13.5,30.5,48.7,55.4,52.8,-595.09,"23,923.30","18,140.50",35,"14,969.06","130,680.67",36.92,88.54,88.97
7-Dec,17.4,23.29,20.2,6.5,5.43,"4,281.00",16.72,21.01,14.5,14.5,23.2,42.1,55.3,53.3,"-9,573.70","17,632.46","19,032.56",-28.5,"15,282.49","128,377.32",27.69,90.27,90.13
8-Jan,15.4,27.15,21.2,7.1,6.1,"10,859.00",18.94,20.72,15,15,9.5,19,53,53.2,"4,382.50","20,656.04","18,421.69",109.8,"15,898.10","134,917.96",29.77,91.99,90.98
8-Feb,15.4,18.51,19.1,8.7,6.62,"4,731.00",17.48,19.2,15,15,-4.2,-4.1,53.4,52.8,"1,475.90","22,286.49","18,385.45",38.3,"16,471.34","138,485.83",30.04,94.8,91.52
8-Mar,17.8,27.83,21.5,8.3,7.95,"6,391.00",16.29,18.25,15.5,15.5,-2,1.1,58.4,54.4,606.14,"22,779.98","18,801.44",39.6,"16,821.77","142,490.73",37.92,92.35,90.56
8-Apr,15.7,24.2,22,8.5,8.12,"7,076.00",16.94,19.05,16,16,-4.9,-1.5,59.2,55.4,"2,746.44","25,468.75","18,755.03",52.7,"17,566.55","147,742.17",28.87,92.81,91.4
8-May,16,33.65,21.6,7.7,8.22,"5,678.00",18.07,17.93,16.5,16.5,-7.2,-2.8,53.3,54.7,"2,243.52","28,165.79","19,210.24",37.9,"17,969.61","151,402.66",30.53,93.15,92.79
8-Jun,16,23.3,23,7.1,8.84,"5,976.00",17.37,14.19,17.5,17.5,-7.2,-3,52,53.3,471.61,"28,005.35","19,645.58",14.6,"18,088.28","153,568.81",32.81,93.64,94.18
8-Jul,14.7,29.85,23.3,6.3,10.03,"4,890.00",16.35,13.96,17.5,17.5,-10.8,-7,48.4,53.3,"1,512.08","29,853.22","19,738.77",38.5,"18,451.64","156,908.16",30.93,93.6,94.39
8-Aug,12.8,22.13,23.2,4.9,10.06,"4,575.00",16,11.48,17.5,17.5,-14.7,-12.7,48.4,49.2,-187.81,"29,457.83","20,645.75",20.4,"18,841.53","158,734.20",30.46,95.76,96.73
8-Sep,11.4,21.4,23.2,4.6,9.13,"5,659.00",15.29,9.43,17.5,16.5,-14.9,-15,51.2,47.7,-731.72,"27,781.46","21,148.91",24.2,"19,055.85","162,515.43",31.15,98.39,99.34
8-Oct,8.2,17.52,22,4,6.59,"1,288.00",15.02,8.85,17,16,-16.5,-17.4,44.6,45.2,"1,185.78","29,846.61","21,353.33",-2,"18,796.88","164,172.71",29.87,102.61,103.92
8-Nov,5.4,-9.17,20.8,2.4,1.99,"4,517.00",14.8,6.8,17,16,-18.3,-19.8,38.8,40.9,"-1,461.63","28,443.25","20,983.76",-36.52,"18,847.17","165,296.52",32.13,105.27,106.46
8-Dec,5.7,-11.17,19,1.2,-1.14,"8,164.00",17.82,9.06,15.5,13.5,-19.7,-19.5,41.2,41.2,"-13,353.00","18,040.04","21,962.77",-5.73,"19,460.30","168,431.11",30.13,102.84,103.86
9-Jan,-2.93,-29.08,18.5,1,-3.35,"13,990.00",18.79,6.68,15.5,13.5,-10,-4.15,45.3,42.2,"2,138.16","18,531.46","20,786.72",-32.67,"19,134.56","169,845.11",34.27,104.83,104.73
9-Feb,11,-24.97,11.6,-1.6,-4.47,"11,131.00",20.48,10.87,15.5,13.5,-0.3,11.2,49,45.1,298.15,"18,900.66","21,376.70",-15.81,"19,120.66","171,419.19",33.56,107.63,107.51
9-Mar,8.3,-20.89,14.7,-1.2,-6,"22,011.00",25.51,17.04,15.5,13.5,8.2,23.1,52.4,44.8,-605.18,"17,162.27","22,392.96",-9.5,"19,537.41","172,630.53",35.18,107.42,108.18
9-Apr,7.3,-22.81,14.8,-1.5,-6.6,"5,452.00",25.89,17.48,15.5,13.5,17.5,35.4,53.5,50.1,819.1,"18,687.04","22,938.27",-22.51,"20,088.80","174,161.86",33.48,104.93,106.17
9-May,8.9,-25.79,15.2,-1.4,-7.2,"14,959.00",25.74,18.69,15.5,13.5,25.5,45.3,53.1,51.2,"1,961.46","23,161.16","23,354.25",-17.81,"20,894.91","176,587.51",32.4,101.56,103.23
9-Jun,10.7,-17.49,15,-1.7,-7.8,"21,067.00",28.46,24.79,15.5,13.5,31.7,53,53.2,51.8,461.89,"24,924.78","24,458.77",-6.8,"21,316.06","177,914.67",33.7,99.59,101.95
9-Jul,10.8,-19.22,15.2,-1.8,-8.2,"7,388.00",28.42,26.37,15.5,13.5,37.1,60.4,53.3,52.8,"1,710.24","28,660.60","25,217.32",-35.7,"21,746.18","180,119.23",32.18,99.19,101.44
9-Aug,12.3,-20.5,15.4,-1.2,-7.86,"7,650.00",28.53,27.72,15.5,13.5,42.9,69.9,54,55.1,500.35,"30,244.82","25,961.16",7,"22,108.27","181,306.77",30.79,98.4,100.58
9-Sep,13.9,-10.05,15.5,-0.8,-6.99,"11,871.00",29.31,29.51,15.5,13.5,44.8,73.4,54.3,55,-968.08,"28,374.47","26,867.55",18.93,"22,725.95","185,374.46",30.61,97.48,99.19
9-Oct,16.1,-10.75,16.2,-0.5,-5.85,"5,985.00",29.42,32.03,15.5,13.5,48.4,79.2,55.2,55.4,"2,161.67","31,542.41","27,451.75",5.7,"23,282.72","187,660.04",30.9,95.93,97.78
9-Nov,19.2,9.87,15.8,0.6,-2.08,"9,501.00",29.74,34.63,15.5,13.5,53,86.8,55.2,55.7,"-1,320.63","32,274.09","28,053.19",31.97,"23,887.88","190,202.98",30.53,95.72,97.14
9-Dec,18.5,32.76,17.5,1.9,1.7,"8,100.00",27.68,32.35,15.5,13.5,43.6,75.5,56.6,56.1,"-14,554.00","22,411.49","29,559.56",103.06,"23,991.52","193,112.47",30.26,97.26,97.87
10-Jan,29.2,44.53,14,1.5,4.32,"20,550.00",25.98,38.96,16,14,40.9,72.85,55.8,57.4,"5,192.86","26,376.74","51,286.26",7.79,"24,152.21","196,094.14",31.18,97.98,98.24
10-Feb,12.8,45.36,22.1,2.7,5.39,"10,877.00",25.52,34.99,16.5,14.5,38.2,70.2,52,55.8,4.76,"25,257.21","50,551.00",1.08,"24,245.91","197,889.10",31.95,100.45,99.59
10-Mar,18.1,42.86,18,2.4,5.91,"13,830.00",22.5,29.94,16.5,14.5,35.8,57.7,55.1,57,99.49,"24,933.22","53,367.79",12.08,"24,470.84","200,590.60",28.91,99,99.33
10-Apr,17.8,39.43,18.5,2.8,6.81,"14,919.00",21.48,31.25,16.5,14.5,32.8,55.4,55.7,55.2,"2,350.11","28,374.38","54,040.62",24.69,"24,905.12","203,453.70",31.18,98.93,99.41
10-May,16.5,48.37,18.66,3.1,7.13,"10,805.00",21,29.9,17,15,22.5,38.4,53.9,52.7,"2,130.96","32,227.70","55,178.04",27.48,"24,395.06","204,769.34",29.55,101.43,102.02
10-Jun,13.7,39.09,18.3,2.9,6.41,"10,196.00",18.46,24.56,17,15,15.4,25.4,52.1,50.4,-239.75,"32,116.36","57,373.32",39.6,"24,542.75","205,940.83",30.89,101.92,103.19
10-Jul,13.4,30.81,17.9,3.3,4.84,"7,202.00",17.6,22.9,17,15,9.7,16.8,51.2,49.4,"1,972.31","35,398.42","58,198.02",29.2,"25,388.94","207,938.31",29.72,100.8,101.62
10-Aug,13.9,34.81,18.4,3.5,4.32,"10,646.00",19.2,21.9,17,15,6.7,12.6,51.7,51.9,-794.34,"36,399.18","60,461.87",1.38,"25,478.38","210,368.09",29.31,99.77,100.18
10-Sep,13.3,24.75,18.84,3.6,4.33,"11,224.00",18.96,20.87,17,15,8.2,15.9,53.8,52.9,"-2,181.85","33,942.91","62,384.90",6.14,"26,483.03","213,263.73",30.19,99.76,99.84
10-Oct,13.1,24.07,18.64,4.4,5.04,"8,608.00",19.3,22.1,17,15,9.1,17.3,54.7,54.8,"1,372.01","36,935.04","63,541.29",7.86,"27,608.99","218,565.53",29.8,98.3,97.98
10-Nov,13.3,36.44,18.7,5.1,6.06,"10,554.00",19.5,22.1,18,16,9.8,17.5,55.2,55.3,"-4,758.95","34,815.89","65,213.35",38.17,"27,678.09","221,761.96",30.6,100.19,98.75
10-Dec,13.5,21.6,19.1,4.6,5.93,"10,780.00",19.72,21.19,18.5,16.5,10.1,18.3,53.9,54.4,"-11,642.00","25,454.97","66,174.72",15.57,"28,473.38","225,795.14",29.16,101.46,99.86
11-Jan,13.3,44.19,19.9,4.9,6.6,"17,560.00",17.2,13.6,19,17,11.95,22.85,52.9,54.5,"5,088.41","29,019.82","88,434.52",23.4,"29,316.74","230,811.62",29.45,101.81,99.66
11-Feb,14.9,10.82,11.6,4.94,7.23,"6,468.00",15.7,14.5,19.5,17.5,13.8,27.4,52.2,51.7,"2,922.21","32,399.93","90,591.13",32.2,"29,913.86","232,956.85",31.8,102.36,99.23
11-Mar,14.8,31.5,17.4,5.38,7.31,"18,212.00",16.6,15,20,18,14.9,27.3,53.4,51.8,61.35,"29,981.64","94,208.95",32.9,"30,446.74","237,035.96",30.22,100.78,98.61
11-Apr,13.4,25.88,17.1,5.34,6.82,"13,673.00",15.3,12.9,20.5,18.5,6.3,13.3,52.9,51.8,"2,777.61","34,082.28","95,133.92",15.21,"31,458.43","240,143.14",28.43,99.63,97.86
11-May,13.3,23.5,16.9,5.52,6.79,"10,854.00",15.1,12.7,21,19,9.1,18.1,52,51.6,"2,344.26","37,613.66","96,994.17",13.43,"31,659.97","243,907.28",27.96,99.81,98.07
11-Jun,15.1,18.51,17.7,6.36,7.12,"10,873.00",15.9,13.1,21.5,19.5,12.9,24.1,50.9,50.1,-753.36,"36,271.44","101,309.36",2.83,"31,974.91","246,680.56",28.91,100.12,98.23
11-Jul,14,22.05,17.2,6.45,7.54,"5,393.00",14.7,11.6,21.5,19.5,13.6,26.1,50.7,49.3,"2,914.18","40,863.16","101,717.47",19.83,"32,452.83","248,876.20",26.72,100.43,98.07
11-Aug,13.5,27.02,17,6.15,7.25,"10,741.00",13.5,11.2,21.5,19.5,13.6,25.9,50.9,49.9,-530.59,"41,878.27","103,700.88",11.11,"32,624.99","252,645.60",25.27,101.25,98.79
11-Sep,13.8,18.77,17.7,6.07,6.52,"4,279.00",13,8.9,21.5,19.5,12.9,23.2,51.2,49.9,"-2,641.50","38,160.06","106,658.61",7.88,"32,016.83","255,118.23",25.86,104.48,101.68
11-Oct,13.2,21.44,17.2,5.5,5,"7,908.00",12.9,8.4,21.5,19.5,10,18.5,50.4,51,"1,109.31","42,110.89","107,118.32",8.75,"32,737.96","254,869.31",29.96,105.77,103.01
11-Nov,12.4,17.53,17.3,4.23,2.72,"9,581.00",12.7,7.8,21.5,19.5,8.5,16,49,47.7,"-4,938.86","38,348.24","107,887.91",-9.76,"32,209.07","254,590.31",26.9,106.45,103.77
11-Dec,12.8,12.58,18.1,4.07,1.69,"12,744.00",13.6,7.9,21,19,4.9,12.1,50.3,48.7,"-13,543.22","26,223.07","109,127.62",-12.73,"31,811.48","253,587.01",26.96,108.08,105.18
